City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san ramon de la nueva oran,-23.1322,-64.326,26.35,33,0,0.63,AR,1691358605
1,axim,4.8699,-2.2405,23.89,91,58,2.96,GH,1691358567
2,sultanah,24.4926,39.5857,34.25,9,0,1.54,SA,1691358606
3,waitangi,-43.9535,-176.5597,7.68,92,100,0.45,NZ,1691358607
4,wailua homesteads,22.0669,-159.378,30.44,71,20,5.66,US,1691358607
5,margaret river,-33.95,115.0667,10.9,89,32,3.06,AU,1691358607
6,yellowknife,62.456,-114.3525,21.29,35,75,3.6,CA,1691358608
7,karratha,-20.7377,116.8463,20.88,47,31,4.77,AU,1691358608
8,andergrove,-21.0833,149.1833,18.56,81,15,7.26,AU,1691358609
9,kapuskasing,49.4169,-82.4331,26.05,47,75,3.09,CA,1691358609
10,punta arenas,-53.15,-70.9167,1.48,69,22,8.33,CL,1691358609
11,lebu,-37.6167,-73.65,10.86,80,0,1.82,CL,1691358441
12,punta del este,-34.9667,-54.95,15.06,94,75,5.14,UY,1691358610
13,puerto natales,-51.7236,-72.4875,-1.15,86,12,2.04,CL,1691358311
14,port alfred,-33.5906,26.891,13.99,91,22,1.79,ZA,1691358611
15,blackmans bay,-43.0167,147.3167,4.29,95,14,2.21,AU,1691358611
16,qarqaraly,49.4058,75.4742,15.88,81,13,0.85,KZ,1691358612
17,adamstown,-25.066,-130.1015,20.51,66,97,8.23,PN,1691358612
18,onguday,50.75,86.15,10.99,96,27,0.99,RU,1691358613
19,fort st. john,56.2499,-120.8529,25.94,47,40,3.6,CA,1691358613
20,bilibino,68.0546,166.4372,1.48,90,100,3.82,RU,1691358614
21,klyuchi,52.2667,79.1667,16.87,91,38,3.17,RU,1691358614
22,udachny,66.4167,112.4,10.25,75,86,2.81,RU,1691358324
23,cidreira,-30.1811,-50.2056,18.3,85,2,3.67,BR,1691358615
24,edinburgh of the seven seas,-37.0676,-12.3116,10.78,59,71,17.88,SH,1691358615
25,queenstown,-31.8976,26.8753,11.74,37,2,0.48,ZA,1691358544
